id;node_sn;timestamp;GPS_lat;GPS_lon;GPS_alt;GPS_speed;GPS_num_sats;ACC_x_RMS;ACC_y_RMS;ACC_z_RMS;ACC_x_MEAN;ACC_y_MEAN;ACC_z_MEAN;ACC_samples;MAG_x_RMS;MAG_y_RMS;MAG_z_RMS;MAG_x_MEAN;MAG_y_MEAN;MAG_z_MEAN;MAG_samples;temperature;is_anomaly;raw_MSE;score
31;22;04/03/2022 14:51;4.524.440.002.441.400;19.844.480.514.526.300;-341;0;3;0;0;0;0.613125;0;-101.166;1;0;0;0;37;18;1;1;108.446;NULL;NULL;NULL
32;22;04/03/2022 15:53;45.244.998.931.884.700;19.847.959.518.432.600;85;0;6;0;0;0;0.459844;0;-101.166;1;0;0;0;37;18;1;1;906.348;NULL;NULL;NULL
33;22;04/03/2022 16:53;4.524.502.944.946.280;1.984.787.940.979.000;84;0;4;0;0;0;0.306563;-0.153281;-965.672;1;0;0;0;37;18;1;1;753.338;NULL;NULL;NULL
34;22;04/03/2022 17:54;45.244.720.458.984.300;1.984.752.082.824.700;37;0;3;0;0;0;0.306563;0;-102.698;1;0;0;0;37;18;1;1;565.881;NULL;NULL;NULL
35;22;04/03/2022 18:55;45.244.998.931.884.700;19.847.740.173.339.800;67;0;4;0;0;0;0.766406;0;-996.328;1;0;0;0;37;18;1;1;495.384;NULL;NULL;NULL
36;22;04/03/2022 19:56;4.524.488.830.566.400;19.847.570.419.311.500;78;0;4;0;0;0;0.613125;0.153281;-102.698;1;0;0;0;37;18;1;1;456.664;NULL;NULL;NULL
37;22;04/03/2022 20:57;4.524.517.822.265.620;198.460.693.359.375;-6;0;3;0;0;0;0.306563;-0.153281;-102.698;1;0;0;0;37;18;1;1;401.656;NULL;NULL;NULL
38;22;04/03/2022 21:58;4.524.502.944.946.280;198.476.505.279.541;108;0;4;0;0;0;0.459844;0.153281;-102.698;1;0;0;0;37;18;1;1;35.172;NULL;NULL;NULL
39;22;04/03/2022 22:59;45.245.059.967.041.000;19.848.100.662.231.400;109;0;4;0;0;0;0.613125;0;-965.672;1;0;0;0;37;18;1;1;230.487;NULL;NULL;NULL
40;22;05/03/2022 00:00;4.524.509.811.401.360;19.847.610.473.632.800;73;0;4;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;231.556;NULL;NULL;NULL
